2016-12-02T12:41:16.095Z 70 BUY OPENED
2016-12-02T12:41:17.134Z 76 BUY OPENED
2016-12-02T12:41:18.182Z 78 SELL CLOSED
2016-12-02T12:41:19.232Z 96 BUY OPENED
2016-12-02T12:41:20.260Z 61 BUY OPENED
2016-12-02T12:41:21.292Z 96 SELL CLOSED
2016-12-02T12:41:22.319Z 63 SELL CLOSED
2016-12-02T12:41:23.345Z 85 SELL CLOSED
2016-12-02T12:41:24.375Z 84 BUY OPENED
2016-12-02T12:41:25.399Z 81 BUY OPENED
2016-12-03T12:41:26.424Z 72 BUY OPENED
2016-12-03T12:41:27.444Z 87 BUY OPENED
2016-12-03T12:41:28.463Z 87 BUY OPENED
2016-12-03T12:41:29.485Z 54 BUY OPENED
2016-12-03T12:41:30.507Z 55 SELL CLOSED
2016-12-03T12:41:31.537Z 81 BUY OPENED
2016-12-03T12:41:32.558Z 94 SELL CLOSED
2016-12-03T12:41:33.584Z 80 BUY OPENED
2016-12-03T12:41:34.612Z 67 BUY OPENED
2016-12-03T12:41:35.637Z 68 BUY OPENED
2016-12-04T12:41:36.693Z 94 BUY OPENED
2016-12-04T12:41:37.720Z 52 BUY OPENED
2016-12-04T12:41:38.744Z 77 BUY OPENED
2016-12-04T12:41:39.770Z 69 BUY OPENED
2016-12-04T12:41:40.801Z 59 SELL CLOSED
2016-12-04T12:41:41.845Z 60 SELL CLOSED
2016-12-04T12:41:42.877Z 57 SELL CLOSED
2016-12-04T12:41:43.905Z 64 BUY OPENED
2016-12-04T12:41:45.043Z 85 BUY OPENED
2016-12-04T12:41:46.072Z 76 SELL CLOSED
2016-12-05T12:41:47.097Z 79 BUY OPENED
2016-12-05T12:41:48.119Z 64 BUY OPENED
undefined undefined undefined undefined
undefined undefined undefined undefined
undefined undefined undefined undefined
undefined undefined undefined undefined
2016-12-05T12:41:53.234Z 95 SELL CLOSED
2016-12-05T12:41:54.377Z 67 BUY OPENED
undefined undefined undefined undefined
undefined undefined undefined undefined
2016-12-06T12:41:57.436Z 67 SELL CLOSED
2016-12-06T12:41:58.459Z 56 BUY OPENED
undefined undefined undefined undefined
undefined undefined undefined undefined
2016-12-06T12:42:01.532Z 67 SELL CLOSED
2016-12-06T12:42:02.556Z 75 SELL CLOSED
2016-12-06T12:42:03.599Z 72 BUY OPENED
2016-12-06T12:42:04.620Z 60 BUY OPENED
undefined undefined undefined undefined
2016-12-07T12:42:06.672Z 90 SELL CLOSED
2016-12-07T12:42:07.694Z 81 BUY OPENED
undefined undefined undefined undefined
undefined undefined undefined undefined
undefined undefined undefined undefined
undefined undefined undefined undefined
undefined undefined undefined undefined
2016-12-07T12:42:13.837Z 55 SELL CLOSED
2016-12-07T12:42:14.871Z 80 BUY OPENED
undefined undefined undefined undefined
undefined undefined undefined undefined
undefined undefined undefined undefined
2016-12-08T12:42:18.945Z 87 SELL CLOSED
2016-12-08T12:42:19.967Z 50 BUY OPENED
2016-12-08T12:42:20.988Z 57 BUY OPENED
undefined undefined undefined undefined
undefined undefined undefined undefined
undefined undefined undefined undefined
undefined undefined undefined undefined
undefined undefined undefined undefined
2016-12-09T12:42:27.127Z 59 SELL CLOSED
2016-12-09T12:42:28.157Z 56 BUY OPENED
undefined undefined undefined undefined
undefined undefined undefined undefined
2016-12-09T12:42:31.228Z 58 SELL CLOSED
undefined undefined undefined undefined
2016-12-09T12:42:33.296Z 73 BUY OPENED
undefined undefined undefined undefined
undefined undefined undefined undefined
undefined undefined undefined undefined
undefined undefined undefined undefined
undefined undefined undefined undefined
undefined undefined undefined undefined
